Strategie;Puzzle;Taille;Resolu;Temps_ms;Noeuds;Backtracks;Completion_%
Simple Line Solver (Déduction pure);1;5;OUI;0;2;0;64.00
Simple Line Solver (Déduction pure);2;5;OUI;0;3;0;48.00
Simple Line Solver (Déduction pure);3;5;OUI;0;2;0;56.00
Simple Line Solver (Déduction pure);4;5;OUI;0;2;0;52.00
Simple Line Solver (Déduction pure);5;5;OUI;0;3;0;48.00
Simple Line Solver (Déduction pure);6;5;OUI;0;2;0;48.00
Simple Line Solver (Déduction pure);7;5;OUI;0;2;0;56.00
Simple Line Solver (Déduction pure);8;5;OUI;0;5;0;40.00
Simple Line Solver (Déduction pure);9;5;OUI;0;3;0;52.00
Simple Line Solver (Déduction pure);10;5;OUI;0;1;0;68.00
Simple Line Solver (Déduction pure);11;6;NON;0;3;0;27.78
Simple Line Solver (Déduction pure);12;6;OUI;0;2;0;58.33
Simple Line Solver (Déduction pure);13;6;OUI;0;2;0;47.22
Simple Line Solver (Déduction pure);14;6;OUI;0;3;0;44.44
Simple Line Solver (Déduction pure);15;6;OUI;0;2;0;63.89
Simple Line Solver (Déduction pure);16;6;OUI;0;2;0;55.56
Simple Line Solver (Déduction pure);17;6;OUI;0;3;0;50.00
Simple Line Solver (Déduction pure);18;6;OUI;0;2;0;52.78
Simple Line Solver (Déduction pure);19;6;OUI;0;1;0;63.89
Simple Line Solver (Déduction pure);20;6;OUI;0;2;0;47.22
Simple Line Solver (Déduction pure);21;7;OUI;0;2;0;55.10
Simple Line Solver (Déduction pure);22;7;OUI;0;3;0;51.02
Simple Line Solver (Déduction pure);23;7;OUI;0;3;0;42.86
Simple Line Solver (Déduction pure);24;7;OUI;0;2;0;53.06
Simple Line Solver (Déduction pure);25;7;OUI;0;3;0;44.90
Simple Line Solver (Déduction pure);26;7;OUI;2;4;0;61.22
Simple Line Solver (Déduction pure);27;7;OUI;0;8;0;44.90
Simple Line Solver (Déduction pure);28;7;OUI;0;3;0;51.02
